food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max,Serving size G,Serving size min ,Serving Size Max,Serving size confidence
INDWEB_0077,Vermicelli (sevai) kheer,Vermicelli (sevai) kheer,Breads & flatbreads,piece,100,100,100,0.75,67.5,Henry et al. GI tables (non-Indian cohort),6.75,6.75,6.75,Low,0.45,10.0,"Per-100g values proxy-mapped to validated source item 'Boiled Sevai' (food_id=NONIND_0762); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=200g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",10.0,6.75,6.75,6.75,100.0,portion_100g,10.0,10.0,10.0,59.0,43.0,74.0,0.7
INDWEB_0078,Dal palak,Dal palak,Pulses & legumes,katori,200,160,240,0.6,69.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,26.1,20.88,31.32,High,0.72,18.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Veg Gie Delight' (food_id=WEST_IN_0096).",18.67,13.05,13.05,13.05,100.0,dal_katori_default,37.34,29.87,44.81,150.0,120.0,180.0,0.7
INDWEB_0079,Dal dhokli,Dal dhokli,Pulses & legumes,katori,200,160,240,0.6,58.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,17.02,13.62,20.42,Medium,0.66,14.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Dal Rice' (food_id=T3_0037).",14.67,8.51,8.51,8.51,100.0,dal_katori_default,29.34,23.47,35.21,150.0,120.0,180.0,0.7
INDWEB_0080,Dal makhani (restaurant style),Dal makhani (restaurant style),Pulses & legumes,katori,200,160,240,0.6,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,31.24,24.99,37.49,High,0.4,22.67,"Per-100g values proxy-mapped to validated source item 'Pizza Paneer Makhani' (food_id=WEST_IN_0066); mapping_score=0.17; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",22.67,15.62,15.62,15.62,100.0,dal_katori_default,45.34,36.27,54.41,151.0,121.0,182.0,0.7
INDWEB_0081,Chana dal (boiled),Chana dal (boiled),Pulses & legumes,katori,200,160,240,0.6,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",63.22,50.58,75.86,High,0.45,28.27,"Per-100g values proxy-mapped to validated source item 'Boiled Amaranth' (food_id=IND_HENRY2021_616); mapping_score=0.40; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",28.27,31.61,31.61,31.61,100.0,dal_katori_default,56.54,45.23,67.85,150.0,120.0,180.0,0.7
INDWEB_0082,Masoor dal (boiled),Masoor dal (boiled),Pulses & legumes,katori,200,160,240,0.6,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",63.22,50.58,75.86,High,0.45,28.27,"Per-100g values proxy-mapped to validated source item 'Boiled Amaranth' (food_id=IND_HENRY2021_616); mapping_score=0.40; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",28.27,31.61,31.61,31.61,100.0,dal_katori_default,56.54,45.23,67.85,150.0,120.0,180.0,0.7
INDWEB_0083,Moong dal (boiled),Moong dal (boiled),Pulses & legumes,katori,200,160,240,0.6,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",63.22,50.58,75.86,High,0.45,28.27,"Per-100g values proxy-mapped to validated source item 'Boiled Amaranth' (food_id=IND_HENRY2021_616); mapping_score=0.40; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",28.27,31.61,31.61,31.61,100.0,dal_katori_default,56.54,45.23,67.85,150.0,120.0,180.0,0.7
INDWEB_0084,Toor dal (boiled),Toor dal (boiled),Pulses & legumes,katori,200,160,240,0.6,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",63.22,50.58,75.86,High,0.45,28.27,"Per-100g values proxy-mapped to validated source item 'Boiled Amaranth' (food_id=IND_HENRY2021_616); mapping_score=0.40; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",28.27,31.61,31.61,31.61,100.0,dal_katori_default,56.54,45.23,67.85,150.0,120.0,180.0,0.7
INDWEB_0085,Urad dal (boiled),Urad dal (boiled),Pulses & legumes,katori,200,160,240,0.6,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",63.22,50.58,75.86,High,0.45,28.27,"Per-100g values proxy-mapped to validated source item 'Boiled Amaranth' (food_id=IND_HENRY2021_616); mapping_score=0.40; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",28.27,31.61,31.61,31.61,100.0,dal_katori_default,56.54,45.23,67.85,150.0,120.0,180.0,0.7
INDWEB_0086,Rajma curry,Rajma curry,Pulses & legumes,katori,200,160,240,0.6,41.0,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.45,25.73,"Per-100g values proxy-mapped to validated source item 'Curry Puff' (food_id=NONIND_0026); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",25.73,10.55,10.55,10.55,100.0,dal_katori_default,51.46,41.17,61.75,150.0,120.0,180.0,0.7
INDWEB_0087,Chole (chickpea curry),Chole (chickpea curry),Pulses & legumes,katori,200,160,240,0.6,41.0,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.45,25.73,"Per-100g values proxy-mapped to validated source item 'Curry Puff' (food_id=NONIND_0026); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",25.73,10.55,10.55,10.55,100.0,dal_katori_default,51.46,41.17,61.75,150.0,120.0,180.0,0.7
INDWEB_0088,Kala chana curry,Kala chana curry,Pulses & legumes,katori,200,160,240,0.6,41.0,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.45,25.73,"Per-100g values proxy-mapped to validated source item 'Curry Puff' (food_id=NONIND_0026); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",25.73,10.55,10.55,10.55,100.0,dal_katori_default,51.46,41.17,61.75,150.0,120.0,180.0,0.7
INDWEB_0089,Lobia (black-eyed peas) curry,Lobia (black-eyed peas) curry,Pulses & legumes,katori,200,160,240,0.6,41.0,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.45,25.73,"Per-100g values proxy-mapped to validated source item 'Curry Puff' (food_id=NONIND_0026); mapping_score=0.17; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",25.73,10.55,10.55,10.55,100.0,dal_katori_default,51.46,41.17,61.75,150.0,120.0,180.0,0.7
INDWEB_0090,Chole kulche (combo),Chole kulche (combo),Pulses & legumes,portion,200,160,240,0.6,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,24.26,19.41,29.11,High,0.62,17.33,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Chole Kulche' (food_id=T3_0108).",17.33,12.13,12.13,12.13,100.0,dal_katori_default,34.66,27.73,41.59,150.0,105.0,195.0,0.55
INDWEB_0091,Rajma chawal (combo),Rajma chawal (combo),Pulses & legumes,portion,200,160,240,0.6,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,26.28,21.02,31.54,High,0.72,18.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Tomato and Basil' (food_id=WEST_IN_0090).",18.67,13.14,13.14,13.14,100.0,dal_katori_default,37.34,29.87,44.81,150.0,105.0,195.0,0.6
INDWEB_0092,Kadhi (plain),Kadhi (plain),Pulses & legumes,katori,200,160,240,0.6,60.0,Henry et al. GI tables (non-Indian cohort),17.9,14.32,21.48,Medium,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",14.92,8.95,8.95,8.95,100.0,dal_katori_default,29.84,23.87,35.81,151.0,120.0,181.0,0.6
INDWEB_0093,Punjabi kadhi,Punjabi kadhi,Pulses & legumes,portion,200,160,240,0.6,70.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 119; n=30 Healthy; ref food/time: Glucose/2h participants; portion 236 g provides 50 g available carbs (table page 21).",19.84,15.87,23.81,Medium,0.9,14.13,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Ponni' (food_id=IND_HENRY2021_620).",14.13,9.92,9.92,9.92,100.0,dal_katori_default,28.26,22.61,33.91,150.0,105.0,195.0,0.55
INDWEB_0094,Gujarati kadhi,Gujarati kadhi,Pulses & legumes,katori,200,160,240,0.6,46.3,Henry et al. GI tables (non-Indian cohort),16.48,13.18,19.78,Medium,0.88,17.8,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pittu with Greenleafy Curry with Gravy' (food_id=NONIND_0684).",17.8,8.24,8.24,8.24,100.0,dal_katori_default,35.6,28.48,42.72,150.0,120.0,180.0,0.7
INDWEB_0095,Sindhi kadhi,Sindhi kadhi,Pulses & legumes,portion,200,160,240,0.6,68.9,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,31.24,24.99,37.49,High,0.72,22.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Paneer Makhani' (food_id=WEST_IN_0066).",22.67,15.62,15.62,15.62,100.0,dal_katori_default,45.34,36.27,54.41,150.0,105.0,195.0,0.6
INDWEB_0096,Avial,Avial,Pulses & legumes,portion,200,160,240,0.6,44.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 116.34 g provides 50 g available carbs (table page 21).",25.22,20.18,30.26,High,0.9,28.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Popped Amaranth' (food_id=IND_HENRY2021_617).",28.67,12.61,12.61,12.61,100.0,dal_katori_default,57.34,45.87,68.81,150.0,105.0,195.0,0.55
INDWEB_0097,Kootu,Kootu,Pulses & legumes,plate,200,160,240,0.6,83.1,Henry et al. GI tables (non-Indian cohort),29.58,23.66,35.5,High,0.88,17.8,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Polished Rice' (food_id=NONIND_0148).",17.8,14.79,14.79,14.79,100.0,dal_katori_default,35.6,28.48,42.72,150.0,120.0,180.0,0.7
INDWEB_0098,Poriyal (beans),Poriyal (beans),Pulses & legumes,portion,200,160,240,0.6,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,22.8,18.24,27.36,High,0.71,16.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Pepperoni' (food_id=WEST_IN_0070).",16.67,11.4,11.4,11.4,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0099,Poriyal (cabbage),Poriyal (cabbage),Pulses & legumes,portion,200,160,240,0.6,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",9.2,0.0,0.0,0.0,100.0,dal_katori_default,18.4,14.72,22.08,150.0,105.0,195.0,0.6
INDWEB_0100,Chana saag,Chana saag,Pulses & legumes,katori,200,160,240,0.6,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,39.2,31.36,47.04,High,0.82,56.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Chana Chaat' (food_id=T2_0090).",56.0,19.6,19.6,19.6,100.0,dal_katori_default,112.0,89.6,134.4,150.0,120.0,180.0,0.6
INDWEB_0101,Sarson ka saag,Sarson ka saag,Pulses & legumes,portion,200,160,240,0.6,70.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,26.28,21.02,31.54,High,0.72,18.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Capsicum and Onion' (food_id=WEST_IN_0007).",18.67,13.14,13.14,13.14,100.0,dal_katori_default,37.34,29.87,44.81,150.0,105.0,195.0,0.6
INDWEB_0102,Saag paneer,Saag paneer,Pulses & legumes,portion,200,160,240,0.6,69.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.18,18.54,27.82,High,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Paneer' (food_id=WEST_IN_0120); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.59,11.59,11.59,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0103,Aloo palak,Aloo palak,Pulses & legumes,portion,200,160,240,0.6,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.68,18.94,28.42,High,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0104,Aloo jeera,Aloo jeera,Pulses & legumes,portion,200,160,240,0.6,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.68,18.94,28.42,High,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0105,Aloo baingan,Aloo baingan,Pulses & legumes,portion,200,160,240,0.6,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.68,18.94,28.42,High,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0106,Aloo tamatar,Aloo tamatar,Pulses & legumes,portion,200,160,240,0.6,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,23.68,18.94,28.42,High,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,dal_katori_default,33.34,26.67,40.01,150.0,105.0,195.0,0.6
INDWEB_0107,Bhindi fry,Bhindi fry,Pulses & legumes,portion,200,160,240,0.6,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",9.2,0.0,0.0,0.0,100.0,dal_katori_default,18.4,14.72,22.08,150.0,105.0,195.0,0.6
INDWEB_0108,Baingan fry,Baingan fry,Pulses & legumes,portion,200,160,240,0.6,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",9.2,0.0,0.0,0.0,100.0,dal_katori_default,18.4,14.72,22.08,150.0,105.0,195.0,0.6
INDWEB_0109,Gobi manchurian (dry),Gobi manchurian (dry),Pulses & legumes,portion,200,160,240,0.6,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.45,9.2,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",9.2,0.0,0.0,0.0,100.0,dal_katori_default,18.4,14.72,22.08,150.0,105.0,195.0,0.6
INDWEB_0110,Gobi manchurian (gravy),Gobi manchurian (gravy),Pulses & legumes,katori,200,160,240,0.6,63.2,Henry et al. GI tables (non-Indian cohort),26.12,20.9,31.34,High,0.45,20.67,"Per-100g values proxy-mapped to validated source item 'Kurakkanpittu with Gravy' (food_id=NONIND_0599); mapping_score=0.20; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",20.67,13.06,13.06,13.06,100.0,dal_katori_default,41.34,33.07,49.61,150.0,120.0,180.0,0.7
INDWEB_0111,Vegetable jalfrezi,Vegetable jalfrezi,Pulses & legumes,portion,200,160,240,0.6,68.4,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,20.98,16.78,25.18,High,0.71,15.33,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pizza Chicken' (food_id=WEST_IN_0016).",15.33,10.49,10.49,10.49,100.0,dal_katori_default,30.66,24.53,36.79,150.0,105.0,195.0,0.6
INDWEB_0112,Mixed vegetable curry,Mixed vegetable curry,Pulses & legumes,katori,200,160,240,0.6,41.0,Henry et al. GI tables (non-Indian cohort),21.1,16.88,25.32,High,0.45,25.73,"Per-100g values proxy-mapped to validated source item 'Curry Puff' (food_id=NONIND_0026); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",25.73,10.55,10.55,10.55,100.0,dal_katori_default,51.46,41.17,61.75,150.0,120.0,180.0,0.7
INDWEB_0113,Chole bhature (combo),Chole bhature (combo),Pulses & legumes,portion,200,160,240,0.6,33.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,7.04,5.63,8.45,Low,0.86,10.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Chole' (food_id=T2_0085).",10.67,3.52,3.52,3.52,100.0,dal_katori_default,21.34,17.07,25.61,150.0,105.0,195.0,0.55
INDWEB_0114,Pav bhaji (with pav),Pav bhaji (with pav),Pulses & legumes,portion,200,160,240,0.6,88.0,Henry et al. GI tables (non-Indian cohort),19.72,15.78,23.66,Medium,0.45,11.2,"Per-100g values proxy-mapped to validated source item 'Attarotimeal with Accompaniments' (food_id=NONIND_0610); mapping_score=0.20; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",11.2,9.86,9.86,9.86,100.0,dal_katori_default,22.4,17.92,26.88,150.0,105.0,195.0,0.55
INDWEB_0115,Bhaji (pav bhaji bhaji only),Bhaji (pav bhaji bhaji only),Pulses & legumes,portion,200,160,240,0.6,85.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,45.34,36.27,54.41,High,0.8,26.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Bhatura' (food_id=T2_0048).",26.67,22.67,22.67,22.67,100.0,dal_katori_default,53.34,42.67,64.01,150.0,105.0,195.0,0.55
