Suggested_item,Category,Standardization_hint
Ice cream (vanilla),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Shrikhand,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Payasam (vermicelli),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Payasam (ada),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Payasam (palada),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Modak (ukadiche),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Puran poli,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chikki (peanut),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chikki (sesame/til),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Gajak,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Revdi,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Banana fritters (pazham pori),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Unniyappam,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masala chai (tea with milk & spices),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ginger tea,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Black tea (unsweetened),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Green tea (unsweetened),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Filter coffee (south Indian),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Instant coffee with milk,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Cold coffee (sweetened),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Lemon tea,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Salted buttermilk (chaas),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sweet lassi,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Salted lassi,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mango lassi,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Coconut water,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sugarcane juice,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Lassi (rose),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aam panna,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Jaljeera,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Nimbu pani (sweetened),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Nimbu pani (salted),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Thandai,Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Soft drink (cola),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Packaged fruit juice (orange),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Packaged fruit juice (mango),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Milk (toned),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Milk (full cream),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Milk (skim),Beverages,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Curd (dahi, plain)","Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Greek yogurt (plain),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Raita (boondi),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Raita (cucumber),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Raita (onion),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Paneer (plain),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tofu (plain),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Cheese slice,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Cheese spread,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Butter,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ghee,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mayonnaise,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mint chutney,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Coriander chutney,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tamarind chutney,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pickle (mango),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pickle (lime),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Papad (roasted),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Papad (fried),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Salad (kachumber),"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Onion salad,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Green salad,"Dairy, condiments & sides","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Idli podi (gunpowder) with oil,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dosa podi with ghee,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Hyderabadi haleem,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Nihari,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Payaa soup,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dal baati churma,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Baati (plain),Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Churma (sweet),Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Undhiyu,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kadhi khichdi (combo),Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dal chawal (plain),Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Curd rice with pickle,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole chawal (combo),Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Lucknowi biryani,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kolkata biryani,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ambur biryani,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vangi bath,Regional specials,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
